Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,ATM BNI SPBU BAMBE,4.3,3,Angga Febriyanto Putro,5,2018-07-08T11:38:31.324Z,"ATM ini berada di dalam area SPBU Bambe tepatnya di Jalan Raya Bambe, Driyorejo, Gresik. ATM ini dapat digunakan untuk mengakses sejumlah layanan perbankan seperti menarik uang tunai, transfer dana, cek saldo, bayar tagihan, atau berbagai keperluan keuangan sehari-hari seperti membayar listrik, pulsa, atau tagihan lainnya. Dapat juga untuk melakukan tarik tunai dari rekening Mandiri, BRI dan BTN.",atm ini berada di dalam area spbu bambe tepatnya di jalan raya bambe driyorejo gresik atm ini dapat digunakan untuk mengakses sejumlah layanan perbankan seperti menarik uang tunai transfer dana cek saldo bayar tagihan atau berbagai keperluan keuangan sehari hari seperti membayar listrik pulsa atau tagihan lainnya dapat juga untuk melakukan tarik tunai dari rekening mandiri bri dan btn,atm ini berada di dalam area spbu bambe tepatnya di jalan raya bambe driyorejo gresik atm ini dapat digunakan untuk mengakses sejumlah layanan perbankan seperti menarik uang tunai transfer dana cek saldo bayar tagihan atau berbagai keperluan keuangan sehari hari seperti membayar listrik pulsa atau tagihan lainnya dapat juga untuk melakukan tarik tunai dari rekening mandiri bri dan btn,atm berada area spbu bambe tepatnya jalan raya bambe driyorejo gresik atm digunakan mengakses sejumlah layanan perbankan seperti menarik uang tunai transfer dana cek saldo bayar tagihan berbagai keperluan keuangan sehari hari seperti membayar listrik pulsa tagihan lainnya melakukan tarik tunai rekening mandiri bri btn,Pelayanan,Netral,0.9812
Perbankan,ATM BNI SPBU BAMBE,4.3,3,CakFau,3,2017-07-08T13:41:59.585Z,"gak pernah pakai mesin ini, :)",gak pernah pakai mesin ini,tidak pernah pakai mesin ini,pernah pakai mesin,Lainnya,Netral,0.9886
