Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Tn. Wenk,5,2026-04-09T23:20:29.824Z,Ntabsszzz.. asyyyiiiap 😎😊,ntabsszzz asyyyiiiap,ntabsszzz asyyyiiiap,ntabsszzz asyyyiiiap,Lainnya,Positif,0.9024
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Rifki Novriansyah,4,2026-04-09T03:59:02.190Z,KL untuk infus whitening brpa kak?,kl untuk infus whitening brpa kak,kalau untuk infus whitening brpa kak,infus whitening brpa kak,Lainnya,Netral,0.9944
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Anik Sudarwati,5,2026-02-13T08:00:10.415Z,"Puas banget treatment di DNI hasilnya memuaskan, pelayanan ramah.. Terimakasih DNI",puas banget treatment di dni hasilnya memuaskan pelayanan ramah terimakasih dni,puas banget treatment di dni hasilnya memuaskan pelayanan ramah terimakasih dni,puas banget treatment dni hasilnya memuaskan pelayanan ramah terimakasih dni,Pelayanan,Positif,0.9951
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Putri Listiyan,4,2025-12-26T10:28:56.785Z,"Produk bagus, udah langganan. Treatment bagus juga, tapi kalo lagi promo pelayanan treatmentnya beda 😂 terapis terburu2 dan agak kasar. Step2 treatment tidak dijelaskan. Selebihnya oke. Mohon diperbaiki saja untuk SOP treatmentnya jangan dibedakan ketika promo / tidak.",produk bagus udah langganan treatment bagus juga tapi kalo lagi promo pelayanan treatmentnya beda terapis terburu2 dan agak kasar step2 treatment tidak dijelaskan selebihnya oke mohon diperbaiki saja untuk sop treatmentnya jangan dibedakan ketika promo tidak,produk bagus udah langganan treatment bagus juga tapi kalo lagi promo pelayanan treatmentnya beda terapis terburu2 dan agak kasar step2 treatment tidak dijelaskan selebihnya oke mohon diperbaiki saja untuk sop treatmentnya jangan dibedakan ketika promo tidak,produk bagus udah langganan treatment bagus kalo promo pelayanan treatmentnya beda terapis terburu2 agak kasar step2 treatment dijelaskan selebihnya oke mohon diperbaiki saja sop treatmentnya jangan dibedakan promo,Pelayanan,Positif,0.9359
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Doraemon Pikatchu,4,2025-08-19T17:25:17.376Z,"Parkir sempit banget, cuman cukup buat 2 mobil",parkir sempit banget cuman cukup buat mobil,parkir sempit banget cuman cukup buat mobil,parkir sempit banget cuman cukup buat mobil,Fasilitas,Positif,0.9968
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Prajurit Haechan,5,2025-07-09T23:52:37.018Z,"Okee, cukup bagus",okee cukup bagus,okee cukup bagus,okee cukup bagus,Lainnya,Positif,0.9807
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Cicik Nurul,5,2024-09-23T03:38:37.802Z,"Pelayanannya baik, dokter dan therapist nya ramah. Paling seneng ketika konsul diarahkan saat penanganan sesuai ekspektasi, hasilnya juga tidak mngecewakan",pelayanannya baik dokter dan therapist nya ramah paling seneng ketika konsul diarahkan saat penanganan sesuai ekspektasi hasilnya juga tidak mngecewakan,pelayanannya baik dokter dan therapist nya ramah paling seneng ketika konsul diarahkan saat penanganan sesuai ekspektasi hasilnya juga tidak mngecewakan,pelayanannya baik dokter therapist ramah paling seneng konsul diarahkan penanganan sesuai ekspektasi hasilnya mngecewakan,Pelayanan,Positif,0.9966
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,riska rohmah,4,2024-07-13T06:16:50.124Z,Kak brp pembayaran untuk memutihkan tubuh,kak brp pembayaran untuk memutihkan tubuh,kak brp pembayaran untuk memutihkan tubuh,kak brp pembayaran memutihkan tubuh,Lainnya,Netral,0.9929
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Sherli Febriana,5,2024-05-21T04:16:07.050Z,"DNI skincentre gresik utk pertama kali fashiol segerr bgtt dan dokter juga mbak""nya ramahh bgtt",dni skincentre gresik utk pertama kali fashiol segerr bgtt dan dokter juga mbak nya ramahh bgtt,dni skincentre gresik untuk pertama kali fashiol segerr bgtt dan dokter juga mbak nya ramahh bgtt,dni skincentre gresik pertama kali fashiol segerr bgtt dokter mbak ramahh bgtt,Pelayanan,Positif,0.9829
Kesehatan,Klinik & Praktek Dokter,DNI Skincentre Gresik,4.9,501,Anggra Anggraeni,5,2024-02-29T21:40:18.812Z,Klinik Kecantikan paling recomended digresik pokoknya guyss🥰🥰hasil bagus dan memuaskan serta harga terjangkau🤗❤️,klinik kecantikan paling recomended digresik pokoknya guysshasil bagus dan memuaskan serta harga terjangkau,klinik kecantikan paling recomended digresik pokoknya guysshasil bagus dan memuaskan serta harga terjangkau,klinik kecantikan paling recomended digresik pokoknya guysshasil bagus memuaskan serta harga terjangkau,Administrasi,Positif,0.9977
