Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,BIDAN ARY ALIFAH,5,24,Absha Ayos,5,2026-04-14T08:30:05.608Z,Sekali datang langsung mujarap,sekali datang langsung mujarap,sekali datang langsung mujarap,datang langsung mujarap,Lainnya,Positif,0.9842
Kesehatan,Klinik & Praktek Dokter,BIDAN ARY ALIFAH,5,24,np studio,5,2026-02-21T08:22:57.295Z,Bu bidanya baik dan soft banget .. insyaallah secepatnya mau ke tempat beliau lg cz mau cek kehamilan yg ke 2,bu bidanya baik dan soft banget insyaallah secepatnya mau ke tempat beliau lg cz mau cek kehamilan yg ke,bu bidanya baik dan soft banget insyaallah secepatnya mau ke tempat beliau lg cz mau cek kehamilan yang ke,bu bidanya baik soft banget insyaallah secepatnya mau tempat beliau lg cz mau cek kehamilan,Pelayanan,Positif,0.6611
Kesehatan,Klinik & Praktek Dokter,BIDAN ARY ALIFAH,5,24,Ninik Wahyuni,5,2024-11-05T09:30:45.070Z,Ibu bidan ramah racikannya manjur,ibu bidan ramah racikannya manjur,ibu bidan ramah racikannya manjur,ibu bidan ramah racikannya manjur,Pelayanan,Positif,0.994
Kesehatan,Klinik & Praktek Dokter,BIDAN ARY ALIFAH,5,24,Widya Syarifah,5,2023-12-16T11:45:13.971Z,"Baik sekali, ramah, sabar, ibu bidan asyik di ajak curhat ma pasien 😁🥰🥰🥰🥰",baik sekali ramah sabar ibu bidan asyik di ajak curhat ma pasien,baik sekali ramah sabar ibu bidan asyik di ajak curhat ma pasien,baik ramah sabar ibu bidan asyik ajak curhat ma pasien,Pelayanan,Positif,0.9726
Kesehatan,Klinik & Praktek Dokter,BIDAN ARY ALIFAH,5,24,Ichi Taufan,5,2023-08-20T23:54:30.802Z,harga terjangkau penanganan cepat dan memuaskan,harga terjangkau penanganan cepat dan memuaskan,harga terjangkau penanganan cepat dan memuaskan,harga terjangkau penanganan cepat memuaskan,Pelayanan,Positif,0.9949
Kesehatan,Klinik & Praktek Dokter,BIDAN ARY ALIFAH,5,24,Nari,5,2020-01-09T01:53:41.662Z,Iyoeeee,iyoeeee,iyoeeee,iyoeeee,Lainnya,Positif,0.9678
