Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,LOBBY IGD/UGD RSUD IBNU SINA,5,7,firman wicahyo,5,2025-05-06T17:54:58.406Z,Cabut gigi graham bawah malam2 bisa gak ya,cabut gigi graham bawah malam2 bisa gak ya,cabut gigi graham bawah malam2 bisa tidak ya,cabut gigi graham bawah malam2 ya,Lainnya,Netral,0.8414
Kesehatan,Rumah Sakit,LOBBY IGD/UGD RSUD IBNU SINA,5,7,Adhi Riadi,5,2024-04-19T08:21:52.430Z,"Saya dan istri saya pengguna BJPS kls 1, Hari ini istriku pulang dari paska melahirkan di sini, jujur gua dan istri sangat betah disini Krn dari pelayanan dan kebersihan sama penanganan gau takjub sangat sangat cepat dan semua rata petugasnya yg terlibat di IGD IBNU SINA Dokter, Bidan dan Perawat sama Cleaning service dan Security semuanya sangat ramah tamah dan baik dan super super sangat sabar semuanya.",saya dan istri saya pengguna bjps kls hari ini istriku pulang dari paska melahirkan di sini jujur gua dan istri sangat betah disini krn dari pelayanan dan kebersihan sama penanganan gau takjub sangat sangat cepat dan semua rata petugasnya yg terlibat di igd ibnu sina dokter bidan dan perawat sama cleaning service dan security semuanya sangat ramah tamah dan baik dan super super sangat sabar semuanya,saya dan istri saya pengguna bjps kls hari ini istriku pulang dari paska melahirkan di sini jujur gua dan istri sangat betah disini karena dari pelayanan dan kebersihan sama penanganan gau takjub sangat sangat cepat dan semua rata petugasnya yang terlibat di igd ibnu sina dokter bidan dan perawat sama cleaning service dan security semuanya sangat ramah tamah dan baik dan super super sangat sabar semuanya,istri pengguna bjps kls hari istriku pulang paska melahirkan sini jujur gua istri betah disini pelayanan kebersihan sama penanganan gau takjub cepat semua rata petugasnya terlibat igd ibnu sina dokter bidan perawat sama cleaning service security semuanya ramah tamah baik super super sabar semuanya,Pelayanan,Positif,0.9949
Kesehatan,Rumah Sakit,LOBBY IGD/UGD RSUD IBNU SINA,5,7,Ichii Mirai,5,2024-02-19T09:38:29.194Z,"Terimaksih untuk pelayanam igd nya dokternya ramah, baik,  adminya juga ramah",terimaksih untuk pelayanam igd nya dokternya ramah baik adminya juga ramah,terimaksih untuk pelayanam igd nya dokternya ramah baik adminya juga ramah,terimaksih pelayanam igd dokternya ramah baik adminya ramah,Pelayanan,Positif,0.9767
Kesehatan,Rumah Sakit,LOBBY IGD/UGD RSUD IBNU SINA,5,7,Bi-2wit,5,2020-01-22T09:58:38.158Z,"Secara lokasi dan aksesnya memang strategis, pasien ataupun ambulans bisa sangat cepat dan mudah masuk ke lokasi. Sehingga pasien bisa langsung tertangani. Saya apresiasi semua itu.  Meskipun sebuah IGD, yang mestinya ruangan dirancang khusus darurat. Tapi adakalanya pasien masih punya ""waktu menunggu"". Memang banyak sih penyebabnya. Entah itu tempat yang memang overload atau kadang proses administrasi. (Meski bisa dimaklumi). Jadi memang kita harus terus berusaha lebih baik.",secara lokasi dan aksesnya memang strategis pasien ataupun ambulans bisa sangat cepat dan mudah masuk ke lokasi sehingga pasien bisa langsung tertangani saya apresiasi semua itu meskipun sebuah igd yang mestinya ruangan dirancang khusus darurat tapi adakalanya pasien masih punya waktu menunggu memang banyak sih penyebabnya entah itu tempat yang memang overload atau kadang proses administrasi meski bisa dimaklumi jadi memang kita harus terus berusaha lebih baik,secara lokasi dan aksesnya memang strategis pasien ataupun ambulans bisa sangat cepat dan mudah masuk ke lokasi sehingga pasien bisa langsung tertangani saya apresiasi semua itu meskipun sebuah igd yang mestinya ruangan dirancang khusus darurat tapi adakalanya pasien masih punya waktu menunggu memang banyak sih penyebabnya entah itu tempat yang memang overload atau kadang proses administrasi meski bisa dimaklumi jadi memang kita harus terus berusaha lebih baik,secara lokasi aksesnya memang strategis pasien ataupun ambulans cepat mudah masuk lokasi sehingga pasien langsung tertangani apresiasi semua meskipun sebuah igd mestinya ruangan dirancang khusus darurat adakalanya pasien punya waktu menunggu memang banyak penyebabnya entah tempat memang overload kadang proses administrasi meski dimaklumi jadi memang harus terus berusaha baik,Pelayanan,Positif,0.9451
Kesehatan,Rumah Sakit,LOBBY IGD/UGD RSUD IBNU SINA,5,7,ANW FZL STC WORLD,5,2019-12-21T04:23:51.678Z,Sangat baik,sangat baik,sangat baik,baik,Lainnya,Positif,0.9844
